trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
25,0.9712975527107576,COMPLETE,43.548672,1200,0.14139017243389768,5,0.9526267850029575,0.8918149972968297,0.122912890865141,0.006279549745726437,7,0.1632081513046253
26,0.9711747405078514,COMPLETE,46.510078,1070,0.14093696732481845,5,0.8324324750004982,0.9709219707437928,0.1384874043211481,0.010109489684095382,7,0.06531795885876845
59,0.9710006126174738,COMPLETE,45.303203,1053,0.14081055425252684,5,0.9165545240437318,0.895708374496489,0.04130287992063755,0.00576216311009027,7,0.10883085795542735
27,0.9709708120087815,COMPLETE,45.930807,1095,0.13922868168905847,4,0.8130315059749358,0.9873284415296607,0.19265311611485797,0.027364805122774043,9,0.14636967086684954
39,0.9708219729056639,COMPLETE,47.549197,1048,0.17313255173898648,8,0.8459741275857875,0.9719650448199707,0.022675671091412913,0.0085023739865354,8,0.038551620650883106
15,0.9708164669254787,COMPLETE,44.147059,1021,0.08883265057539676,5,0.9234652355005509,0.7434383516181846,0.016607248521510718,0.0004621832612195254,7,0.19990744805496383
40,0.9706439366808391,COMPLETE,44.181728,949,0.1667347206011944,10,0.8045591581120244,0.976190659510127,0.6262149210474954,0.010124124110852995,10,0.035810798735120206
16,0.9706170312838087,COMPLETE,42.905279,1010,0.09199571183975873,5,0.8805001028147506,0.7229192359110016,0.010912844986193613,0.0012185589337100572,7,0.006589607190461838
34,0.970575839494963,COMPLETE,48.033772,1130,0.11440400253259678,6,0.7863716560575621,0.9643084395363142,0.5357769914387496,0.0067716270510745176,6,0.22465689794476498
31,0.9705457740224194,COMPLETE,42.438375,1041,0.1332916906124689,5,0.8263131294199376,0.9659209287618449,0.10140911621331436,0.12239018053173971,8,0.17389600649726664
49,0.9704899485950843,COMPLETE,35.344076,910,0.17333611906753935,4,0.914926898868483,0.9807706849898314,0.001354581535672541,0.3181894521984697,10,0.029755596904974806
43,0.9704671080894375,COMPLETE,59.57662,1054,0.08204748740801966,8,0.9019172589303838,0.8950265090875251,0.056976415823768216,0.026862812390753686,8,0.03555491439810533
29,0.9704211671255355,COMPLETE,39.496495,1120,0.27685817325478834,4,0.8246742360252163,0.9515971609882368,0.8618374155110936,0.011987459178473483,9,0.14215857772388102
28,0.9701569468262936,COMPLETE,40.822507,1085,0.1495647972806157,4,0.7384791485524831,0.9892836869524965,0.16845344342006946,0.04681862458836359,9,0.06676922828450718
52,0.970140670641659,COMPLETE,48.264175,1033,0.1577543049505678,9,0.7536915079018279,0.9809493920364112,0.47081471342345854,0.025961550928073316,9,0.058824985333082766
55,0.9701092781859795,COMPLETE,41.878818,824,0.12642943056267644,8,0.839860779929589,0.8595802035421725,0.013970851370788517,0.036452813655482794,9,0.04489530753332131
33,0.9700446735558362,COMPLETE,42.218772,956,0.07422584565028206,5,0.9608747621920689,0.9276708583351981,0.15727230729360034,0.006502706397708075,9,0.12559387174502307
11,0.9700437590404518,COMPLETE,53.81088,1195,0.0510392611919765,6,0.9806693857217327,0.7665667562286024,0.031743023377942006,0.00011070137332074107,6,0.29584181796502984
17,0.9699974659211952,COMPLETE,36.218825,990,0.09471585983642165,4,0.8679698238528474,0.7025654098804919,0.006667406085498887,0.01400913633589397,7,0.013141271307312746
24,0.9698809294447939,COMPLETE,48.065282,894,0.06817831402169873,7,0.9005352927714705,0.7316385615287645,0.0033643220834082316,0.0013289751925031588,5,0.22981879281772413
21,0.969813377792498,COMPLETE,41.639434,925,0.06951513073557486,5,0.9421441404555186,0.7367288069331572,0.01869032052490199,0.00028179592575615733,7,0.051910285436663144
10,0.9697865802444597,COMPLETE,59.212082,1147,0.04593736797194054,6,0.9661451709558936,0.7828065453407016,0.03727364254732513,0.00011544608204846147,6,0.28527393244084165
22,0.9696957272681029,COMPLETE,45.775825,1076,0.146036642247048,7,0.8474837352280824,0.6800520518489701,0.01988465305043093,0.0012568601357767222,5,0.20228703031624407
18,0.9691390066302494,COMPLETE,56.667788,1014,0.09363990166023256,5,0.8712879172263447,0.8444485798863995,0.011543079335847207,0.002085189089145038,1,0.01032454239204026
56,0.9682899813475403,PRUNED,32.372415,1186,0.1656837223909298,5,0.815436210156036,0.9764895297403764,0.00759822902705876,0.013886338510125726,10,0.09881531648022582
12,0.9682697373456017,COMPLETE,59.553913,1164,0.03979831790194306,6,0.9995928257216664,0.781979666086564,0.04370364510453333,0.0006744072847669357,5,0.31562355389716545
42,0.9681574699888553,PRUNED,33.501669,1132,0.20155085814879894,9,0.7990602403491421,0.9980771211126036,0.017423905699884265,0.003662257025128653,8,0.08854938423751146
0,0.968062161245537,COMPLETE,23.358181,512,0.22648248189516848,10,0.7993292420985183,0.5780093202212182,0.0004207053950287938,0.0001707396743152812,9,0.3005575058716044
41,0.9676897094482819,PRUNED,34.799586,1049,0.12098134240849265,11,0.8499057691271223,0.9447336437292037,0.030466083104718777,0.07808215377900535,9,0.11782025879545976
