trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
11,0.9636220521844525,COMPLETE,18.189033,798,0.10634551266374369,5,0.9682679846033496,0.767812132017745,0.008464188343830304,0.006113763603077504,5,0.005346087007758668
10,0.9630948048393447,COMPLETE,20.200256,774,0.09774585092201231,5,0.9661451709558936,0.7828065453407016,0.024700266779802336,0.004909138671701479,5,0.03980551066888588
6,0.9579926944810317,COMPLETE,9.256946,519,0.22999586428143728,3,0.5979914312095727,0.522613644455269,0.0020013420622879987,0.0035868164986275516,3,0.41436875457596467
0,0.957877903855294,COMPLETE,7.372304,362,0.2536999076681772,8,0.7993292420985183,0.5780093202212182,0.0004207053950287938,0.0001707396743152812,9,0.3005575058716044
8,0.9572929117163658,COMPLETE,6.617842,103,0.1601531217136121,8,0.8645035840204937,0.8856351733429728,0.00019777828512462724,0.00271558195528294,2,0.43155171293779676
5,0.9556386047115789,COMPLETE,21.898951,564,0.028869220380495747,7,0.7733551396716398,0.5924272277627636,0.755681014127442,0.12604664585649453,10,0.4474136752138244
2,0.9470655790450246,COMPLETE,16.60894,402,0.02692655251486473,7,0.569746930326021,0.6460723242676091,0.002920433847181412,0.006672367170464205,8,0.09983689107917987
3,0.9413633606308766,COMPLETE,8.570704,460,0.07500118950416987,3,0.8037724259507192,0.5852620618436457,0.00018205657658407274,0.6245139574743068,10,0.40419867405823057
1,0.9406686079966735,COMPLETE,41.877042,596,0.010725209743171997,10,0.9162213204002109,0.6061695553391381,0.000533703276260396,0.0005415244119402539,4,0.2623782158161189
7,0.9380694159258357,COMPLETE,15.406442,350,0.026000059117302653,7,0.5704621124873813,0.9010984903770198,0.00019870215385428647,0.8862326508576243,8,0.0993578407670862
9,0.9160650704804061,COMPLETE,10.410608,536,0.030816017044468066,3,0.6554911608578311,0.6625916610133735,0.08287522363768157,0.035500125258511595,9,0.23610746258097465
4,0.9113822668599298,COMPLETE,13.322624,313,0.013940346079873234,8,0.7200762468698007,0.5610191174223894,0.009565499215943823,0.00013726318898045882,10,0.12938999080000846
