trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
6,0.9687875545261218,COMPLETE,5.966216,399,0.22999586428143728,24,4,14,0.6626651653816322,0.6943386448447411,0.0012172958098369967,0.20651425578959234
18,0.9678213366602054,COMPLETE,5.034492,385,0.11703024565981428,32,5,92,0.9134336554829187,0.673138225461001,0.04388954061879684,0.023935719572552805
12,0.9677060889322494,COMPLETE,3.849541,575,0.266709660019641,47,3,100,0.8384090290478076,0.643030751155981,0.00789097614831008,0.04799771266896588
13,0.9671494790145473,COMPLETE,3.720262,526,0.28994991907234485,40,3,97,0.9073918595024489,0.6207774664901698,0.004016279039622343,0.05521008712893725
10,0.9663751015562895,COMPLETE,7.326046,582,0.09774585092201231,46,10,61,0.7990877054953649,0.7113756625097372,0.009501408054458756,0.00020818243567492884
11,0.9663007286574282,COMPLETE,7.041036,599,0.10634551266374369,44,10,58,0.7409481648316648,0.7232885802665415,0.009882889536433332,0.00011034907475054158
0,0.9657918782797412,COMPLETE,4.504381,287,0.2536999076681772,97,7,24,0.5779972601681014,0.5290418060840998,0.29154431891537513,0.02537815508265665
3,0.9648743726739103,COMPLETE,9.106137,357,0.07500118950416987,20,7,25,0.5325257964926398,0.9744427686266666,0.7286653737491037,0.17123375973163968
14,0.9645051082128061,COMPLETE,4.461709,515,0.17857166685249035,58,3,51,0.6645318879205623,0.805085811834259,0.00045943610934533695,0.07875010548546682
8,0.961208371177138,COMPLETE,3.162924,102,0.1601531217136121,94,8,80,0.5370223258670452,0.6792328642721364,0.00029072088906598463,0.2834090429514774
15,0.9603721045631616,COMPLETE,2.631822,158,0.17462845977292588,31,5,13,0.8409698127742851,0.6314733502800894,0.00010809068839145453,0.8110840524533407
16,0.9566032475037017,COMPLETE,5.68325,514,0.06865483133734139,55,4,75,0.9734024632067818,0.7813415456208156,0.025940696475853862,0.004880208901694977
5,0.9557008498882272,COMPLETE,12.036025,431,0.028869220380495747,73,7,26,0.9847923138822793,0.8875664116805573,0.5727904470799616,0.3795853142670636
17,0.9498733624135456,COMPLETE,1.816686,206,0.21979800510119266,17,3,46,0.6637452938214106,0.5738762106062454,0.0010637210556042344,0.07665792085148398
19,0.9435974855379451,COMPLETE,4.880013,348,0.04738783708075719,31,5,66,0.9436091822838564,0.7712886602730182,0.04053993201438861,0.002219634275190876
9,0.934529998240969,COMPLETE,6.309228,412,0.030816017044468066,22,5,39,0.864803089169032,0.8187787356776066,0.35387588647792356,0.007742116473996248
1,0.9290571727029023,COMPLETE,14.382701,454,0.010725209743171997,124,9,29,0.5909124836035503,0.5917022549267169,0.0016480446427978971,0.012561043700013555
2,0.9009819675275246,COMPLETE,3.889109,316,0.02692655251486473,84,4,36,0.6831809216468459,0.728034992108518,0.13826232179369857,0.0006290644294586153
7,0.89331701168889,COMPLETE,3.828649,278,0.026000059117302653,76,4,82,0.5372753218398854,0.9934434683002586,0.12273800987852965,0.0006235377135673159
4,0.8879951248084533,COMPLETE,3.929749,252,0.013940346079873234,92,6,21,0.7475884550556351,0.5171942605576092,0.43379206974909373,0.0010842262717330165
