trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain
53,0.9703066177429922,COMPLETE,13.364569,793,0.11937325988894258,225,5,57,0.9381856133081973,0.982270929413998,0.010204863813578205,0.00010765477932610809,0.014126566113494998
51,0.9698703836122458,COMPLETE,6.103799,635,0.2311650880246067,207,4,51,0.9762057354034939,0.6108341316719589,0.013888592382422916,0.000259499096315062,0.009525525189081771
44,0.9698013491096216,COMPLETE,8.411365,716,0.19298007949969823,229,5,50,0.9343575255968983,0.6170610657923565,0.008397194884969343,0.00012167055770440323,0.0016054612878554134
57,0.9697380423859349,COMPLETE,9.902424,883,0.18897533689456328,193,4,55,0.964134830041579,0.9120323717745907,0.005229320472041611,0.00015438804969102567,0.016045626113030634
40,0.9697379171536369,COMPLETE,6.339025,801,0.2699325074904794,208,5,49,0.9038697010610572,0.5333164785036757,0.020087364825965393,0.00036963943864451015,0.0013582714308708259
43,0.9694482049270032,COMPLETE,7.360071,588,0.19363990414868582,222,5,49,0.9299729068245538,0.6094754251747592,0.009515757618531677,0.00011208131685609023,0.010809004859639162
39,0.9693938261806739,COMPLETE,6.069316,747,0.2866934236399563,214,5,47,0.8977625398127612,0.594144188167704,0.017084805110857533,0.0003999632804538744,0.001856635558649955
41,0.9692141631711658,COMPLETE,6.694932,739,0.2998874217817201,209,5,46,0.9025243833949976,0.5936672181680708,0.020171613945791853,0.00047970711325305267,0.00020236606855334794
56,0.9691620948851855,COMPLETE,10.323966,696,0.13740358937693894,233,5,65,0.9435465582982527,0.9907388489078927,0.03084545062427027,0.0002897449829365865,0.027202728094082865
34,0.968842054378099,COMPLETE,4.771058,733,0.28114229402414365,211,4,50,0.6033875555072613,0.5921560207920452,0.020967108518866455,0.001245802532754409,0.04960300314721537
46,0.9687247143170774,COMPLETE,7.031702,799,0.19827822483412932,231,5,35,0.870037615924501,0.5576071054505514,0.012023686808210678,0.0001993357366123361,0.012689478993441307
36,0.968495043192145,COMPLETE,4.630402,604,0.2860204786347134,222,3,12,0.6109295753868248,0.5944367009465393,0.019780715153624985,0.0012470167420612582,0.048129038175990436
48,0.9684489016041818,COMPLETE,5.88795,554,0.20130406561305203,253,6,68,0.9826631865966224,0.6161648835193675,0.03239121608002811,0.0002794085831218792,0.018210902172585367
