trial_number,value,state,duration_seconds,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_class_weight
42,0.9404858444354863,COMPLETE,440.069269,171,30,4,4,0.7,False,
52,0.9403606933019093,COMPLETE,1140.742401,419,30,10,4,0.7,False,
55,0.9396863154759284,COMPLETE,2068.167636,842,30,10,4,0.7,False,
31,0.9394390682181465,COMPLETE,287.486416,104,30,4,2,0.7,False,
30,0.9393729491541928,COMPLETE,239.781795,101,30,5,2,0.7,False,
34,0.9393683584541052,COMPLETE,496.295871,173,30,8,5,0.7,False,
45,0.9393265162897535,COMPLETE,516.257461,221,30,2,5,0.7,False,
22,0.939246472358953,COMPLETE,857.666129,340,30,12,3,0.7,False,balanced
53,0.9391152480060908,COMPLETE,436.768509,154,29,6,4,0.7,False,
57,0.9389187598673095,COMPLETE,2631.078494,1047,29,11,3,0.7,False,
25,0.9385793017654107,COMPLETE,625.488697,255,30,5,6,0.7,False,balanced
37,0.9384331072692745,COMPLETE,306.829132,120,29,9,5,0.7,False,
56,0.9383294259034335,COMPLETE,1961.016505,800,28,9,4,0.7,False,
41,0.9380093512411328,COMPLETE,681.926926,269,29,5,6,0.7,False,
17,0.937938707606684,COMPLETE,48.733415,344,30,14,4,log2,False,balanced
35,0.9376257593503087,COMPLETE,534.158273,173,28,9,2,0.7,False,
32,0.9375948980903631,COMPLETE,307.359077,105,28,5,1,0.7,False,
44,0.9374772344056813,COMPLETE,364.30244,335,28,8,4,0.3,False,
15,0.9372211512743971,COMPLETE,1536.781561,576,30,15,7,0.7,False,balanced
43,0.9356146748398714,COMPLETE,400.058984,166,26,3,1,0.7,False,
14,0.9349561323053762,COMPLETE,1615.285378,611,30,14,9,0.7,False,balanced_subsample
33,0.9349438660880476,COMPLETE,544.633805,248,26,4,2,0.7,False,
12,0.9344933203769609,COMPLETE,1702.292183,655,29,8,9,0.7,False,balanced_subsample
28,0.9342646327238914,COMPLETE,48.788333,392,28,6,6,log2,False,balanced
40,0.9339180203100762,COMPLETE,73.513086,286,29,3,7,sqrt,False,
58,0.9335558479807955,PRUNED,213.715118,1197,30,10,1,sqrt,True,
21,0.9334933717804735,COMPLETE,85.055866,625,30,13,9,log2,False,balanced
23,0.9334077874897707,COMPLETE,711.102444,310,26,17,2,0.7,False,balanced
54,0.9316027193609946,PRUNED,691.697108,441,27,2,5,0.7,False,
9,0.9303609362885088,COMPLETE,2495.05144,1000,27,2,11,0.7,False,balanced_subsample
49,0.9302938587035103,PRUNED,66.756452,101,29,3,11,0.3,False,
59,0.9292185946868456,PRUNED,492.818416,668,27,8,8,0.3,False,balanced_subsample
3,0.9276788984034413,COMPLETE,313.717097,137,28,9,14,0.7,False,balanced_subsample
24,0.9275718355184953,COMPLETE,44.928631,385,24,12,3,log2,False,balanced
29,0.9266149198103047,COMPLETE,540.643372,495,28,22,3,0.5,True,
38,0.9263349702445458,PRUNED,112.397345,100,27,7,3,0.7,True,
26,0.9226324825095036,COMPLETE,35.170642,229,27,5,5,sqrt,True,balanced
20,0.9216766113741931,COMPLETE,118.182075,464,26,27,6,sqrt,False,balanced
51,0.9215654694797875,PRUNED,155.468058,201,30,8,15,0.7,False,
36,0.9211806681803438,PRUNED,156.864449,173,25,7,4,0.7,False,
46,0.9211121888134497,PRUNED,107.524117,218,27,2,5,0.7,True,
0,0.9208280521083655,COMPLETE,560.587956,512,29,23,12,0.5,True,
47,0.920460068038231,PRUNED,103.721494,148,25,4,8,0.7,False,
16,0.9201763047690307,COMPLETE,897.867835,557,22,15,5,0.5,False,balanced
50,0.9189365519491111,PRUNED,73.43081,147,24,4,7,0.5,False,
27,0.9174161896974653,PRUNED,109.170615,213,23,11,3,0.5,False,balanced
11,0.9170653916317839,COMPLETE,2603.664478,1143,24,10,20,0.7,False,balanced_subsample
19,0.9162551913154187,COMPLETE,35.707527,294,22,17,4,log2,False,balanced
8,0.9097572357988826,COMPLETE,758.04897,1123,25,20,18,0.3,True,balanced_subsample
13,0.9078591317213337,COMPLETE,96.54109,859,20,7,8,log2,False,balanced_subsample
10,0.9053711204912074,COMPLETE,1328.38695,730,18,30,1,0.7,False,balanced_subsample
18,0.8879442271722496,PRUNED,8.486978,380,16,14,1,log2,True,balanced
6,0.8792944254560231,COMPLETE,60.461709,442,12,23,13,sqrt,False,balanced
48,0.879102193504506,PRUNED,92.033036,219,12,6,2,0.7,False,
4,0.8716071241349784,COMPLETE,54.204803,197,8,3,7,0.3,True,balanced_subsample
1,0.8713659528247174,COMPLETE,117.212154,300,8,10,11,0.3,False,
5,0.8708989799898355,COMPLETE,51869.765608,950,8,2,17,0.3,False,
7,0.8567967247441123,COMPLETE,35.903378,127,6,2,13,0.3,True,balanced
2,0.823640425902033,COMPLETE,181.574237,752,4,19,4,0.3,False,balanced_subsample
39,0.7807720320466133,PRUNED,27.478366,178,3,11,2,0.7,False,
